"service_code","service_description","amount_covered"
"SQX739036","Iodine I-123 ioflupane","208.19"
"STJ120176","Fecal blood scrn immunoassay","231.18"
"SLY350617","X-ray exam of salivary gland","284.47"
"SQP359908","X-ray exam hips bi 5/> views","273.17"
"SKD110186","Chest x-ray and fluoroscopy","122.28"
"SNQ979908","X-ray exam of ankle","75.58"
"SLY239276","X-rays bone survey infant","217.20"
"SND334605","Us exam chest","172.91"
"SPK924116","Genitourinary nuclear exam","81.22"
"SJX452095","Development test interp & rep","79.52"
"SQY351669","Diagnosticmammographydigital","243.41"
"SHX133560","Fluzone vacc, 3 yrs & >, im","129.29"
"SHY177412","TC99m depreotide","257.49"
"SZQ031563","Technetium TC-99m aerosol","233.07"
"SXX583135","Ct chest spine w/dye","264.01"
"SCB950064","Urinary bladder retention","260.62"
"SQV115410","Mri chest spine w/dye","212.08"
"SHW645492","Ct soft tissue neck w/o dye","112.64"
"SWK059922","Ct uppr extremity w/o&w/dye","214.22"
"SSS193783","Ct hrt w/o dye w/ca test","109.52"
"SSP318945","Autologous PRP for ulcers","298.67"
"SDC937933","Ct maxillofacial w/o & w/dye","193.08"
"SRB231420","Mr","285.08"
"SMJ206956","Ex for speech device rx addl","256.54"
"SCX135334","spine w/o dye","74.17"
"SDT458429","imaging (3D)","264.91"
"SZY866188","Nuclear rx intracav admin","280.23"
"SFR560910","Liver imaging with flow","182.62"
"SZH880576","Heart image","101.34"
"SCV519217","X-ray exam of lower leg","129.25"
"SRC459415","Linear acc stereo radsur com","118.67"
"SFC686262","Mri uppr extremity w/o&w/dye","229.36"
"SXR467631","X-ray exam of facial bones","155.92"
"SVG871499","X-ray exam of hand","132.37"
"SSV389659","Ct abd & pelvis","92.86"
"SZN307349","Catheterize for urine spec","98.26"
"STF284399","thoracic spine","193.42"
"SFV246038","Intrafraction track motion","80.72"
"SKG618780","Sensory integration","132.81"
"SYB379043","Tc99m exametazime","289.48"
"SFM098001","Testicular imaging w/flow","78.88"
"SDX087801","Tear film img uni","20.17"
"SCZ040107","Brachytx, stranded, C-131","212.70"
"SHY350592","X-ray exam","119.45"
"SWJ379331","Brachytx, non-str, HA, I-125","169.80"
"SRD405050","Post-coital mucous exam","249.89"
"SPW150251","Flu vaccine no preserv, ID","160.89"
"SBJ249923","Inj multihance","22.31"
"SZG881733","Ct","88.49"
"SZR055570","Diagnosticmammographydigital","72.34"
"SYN697750","X-ray exam hips bi 5/> views","213.63"
"SRJ329294","Flu vaccine no preserv 3 & >","93.67"
"SXX325026","hrt w/3d image congen","186.47"
"SFZ167876","K flow/funct image multiple","109.79"
"SKW825552","Neg press wound tx < 50 cm","287.75"
"SPR264860","Sm 153 lexidronam","128.08"
"SXC608355","Colon CA screen;barium enema","167.12"
"SQV951185","Ra223 dichloride ther","67.72"
"SLP819122","Brachytx,non-stranded,I-125","214.68"
"SJP566715","Physical therapy treatment","238.74"
"SWM763514","I131 iodide cap, rx","131.73"
"SPT257273","hrt w/3d image congen","211.75"
"STX676618","Upper extremity study","132.13"
"SLF435631","wrist","85.99"
"SNP928561","Fracture assessment via dxa","153.98"
"SZR654934","Umbilical artery echo","105.88"
"SMN689908","Us exam infant hips static","191.47"
"SCD859047","Hdr rdncl ntrstl/icav brchtx","145.14"
"SVT418048","Pneumococcal vaccine","99.03"
"SDN619776","Fees w/laryngeal sense test","258.52"
"SGG761878","Thyroid met imaging","287.27"
"SKQ550141","X-ray exam of jaw joints","193.05"
"SWS383660","Lumason contrast agent","123.44"
"SZL017201","Echo guidance radiotherapy","165.12"
"SCK339627","X-rays bone survey limited","35.49"
"SVQ690153","Set up port xray equipment ","140.93"
"SST443229","Indium In-111 pentetreotide","68.71"
"SFP979508","Radiation treatment delivery","297.14"
"SGK136762","Ct abdomen w/dye","236.67"
"SDL835879","Diathermy eg microwave","142.01"
"SSD562545","Bone marrow imaging mult","248.99"
"SYX901787","Ultrasound exam AAA screen","9.34"
"SSR102389","Insert heyman uteri capsule","4.21"
"SSN889252","Iodine I-123 sod iodide mil","157.04"
"SZX453550","Ob us detailed addl fetus","207.04"
"SXT909217","Brachytx, non-stranded,P-103","274.95"
"SMY988341","Place rt device/marker pros","130.90"
"SCT490047","Ct maxillofacial w/dye","261.06"
"SNB020153","Radiopharm rx agent noc","92.67"
"SDC937889","Warfarin respon genetic test","214.91"
"SFH632854","Insert heyman uteri capsule","218.36"
"SRR235084","Gi tract capsule endoscopy","49.10"
"SRD923791","Tc99m oxidronate","179.50"
"SRX148915","Physical medicine procedure","167.68"
"SDR615450","Mri pelvis w/dye","2.34"
"SWQ542431","Mri lumbar spine w/o & w/dye","36.47"
"SNT086820","Echo exam of eye","155.89"
"SNK491670","In111 capromab","188.87"
"SPL027403","TTE w/Doppler complete","46.51"
"SCY293093","X-ray exam of mastoids","95.54"
"SRV999604","Apply surface radiation","196.39"
"SRW622460","Cpmtr ophth dx img ant segmt","5.97"
"SJB958541","I131 iodide cap, rx","161.26"
"SKQ777033","therapy dose plan","257.98"
"SMC726536","Lung perfusion imaging","265.69"
"STL193422","RMVL devital tis 20cm/<","152.94"
"SLS294198","Flu vac no prsv 4 val 6-35 m","261.97"
"SJX528137","Radiation treatment delivery","184.52"
"SVZ263501","Neg press wnd tx </=50 sq cm","43.01"
"SBJ734918","Ct soft tissue neck w/dye","237.16"
"SRR929410","Ct upper extremity w/o dye","125.42"
"SPQ804506","Ct maxillofacial w/o & w/dye","295.63"
"SFG814421","Venous thrombosis imaging","226.66"
"SRB419213","Flu vacc 4 val 3 yrs plus im  ","46.13"
"SPM565223","Thyroid met imaging","239.07"
"SYM545330","Contrst x-ray uppr gi tract","235.02"
"SCV215521","Paraffin bath therapy","250.18"
"SNR617621","Y90 ibritumomab, rx","8.02"
"SJC592440","Cardiac rehab","103.52"
"SKV480054","HDR brachytx 1 channel","228.69"
"SCQ024310","Mri","252.75"
"SJV671220","Extracorp shock wv tx ms nos","207.95"
"SHS456031","I131 iodobenguate, dx","219.04"
"SRD630297","Gastroesophageal reflux exam","296.97"
"SJC722323","Behavral qualit analys voice","8.80"
"SNV282680","Physical performance test","148.80"
"SRL220695","Ct lumbar spine w/o dye","270.14"
"SKJ546591","Complex body section x-rays","46.66"
"SMR344416","Contrast x-ray esophagus","18.48"
"SGB202169","X-ray exam of leg infant","176.98"
"SBT179582","physics consult","74.57"
"STM224664","X-ray exam of heel","123.55"
"SFL196254","Hyperthermia treatment","30.29"
"SXT201079","Physical performance test","4.65"
"SQV375903","Tc99m apcitide","60.44"
"STR616435","Tc99m bicisate","71.95"
"SKX187577","Ob us limited fetus(s)","262.19"
"SPM816732","LOCM 200-299mg/ml iodine,1ml","170.45"
"SZH434480","Ob us >/= 14 wks addl fetus","125.39"
"SST053735","Ct soft tissue neck w/dye","42.18"
"SLS835028","freeze/thaw","98.06"
"SNQ293408","X-ray exam","134.39"
"SGJ707045","Echo exam of fetal","266.61"
"SSF551292","mastoids","293.91"
"SCL397389","HOCM 300-349mg/ml iodine,1ml","79.55"
"SZB591563","Ct thorax w/dye","60.30"
"SWN192250","Ct hrt w/3d image","15.27"
"SYF120043","X-ray exam of neck spine","80.60"
"SPW838503","Thorax stereo rad targetw/tx","128.90"
"SNP719745","Ct chest spine w/o & w/dye","226.61"
"SLC422048","Flu vacc prsv free inc antig","201.44"
"SBG184465","Iodine I-123 ioflupane","124.58"
"SJB106505","Hepatobiliary system imaging","213.34"
"SWB399475","Thyroid met imaging body","29.49"
"SZB123573","Ct","189.45"
"SKJ292687","Meckels divert exam","211.72"
"SJC897059","Intracranial study","284.18"
"SRF418277","Heart muscle imaging (PET)","268.43"
"SVS633875","Recon, CTA for surg plan","125.18"
"SRM282236","hrt w/3d image congen","260.89"
"SNN520762","Linear acc based stero radio","107.51"
"SFW344569","Mr angiography neck w/dye","12.20"
"SHQ540322","Autologous blood process","64.18"
"SLS716267","In111 satumomab","32.41"
"SZL576011","Radiation therapy management","140.32"
"SHF196403","Florbetapir F18","259.83"
"SVM717377","Echocardiography contrast","201.60"
"SKK094171","Echo exam of eye","38.74"
"SWY990401","Dxa bone density study","255.45"
"SZN827850","Mri abdomen w/dye","235.71"
"SXJ011396","Mri uppr extremity w/o&w/dye","213.81"
"SXL055453","Sr89 strontium","63.64"
"SXK663502","Chest x-ray","223.23"
"SYT264620","Mri pelvis w/o dye","57.30"
"SGP559163","Iodine I-131 iodide cap, dx","211.12"
"SCN696134","Scr c/v","169.07"
"SRR735213","complete","297.37"
"SVQ697546","Limb muscle testing manual","195.06"
"SXQ098948","Tc99 Tilmanocept diag 0.5mci","121.24"
"SJZ275854","Autologous blood process","218.06"
"SWQ592447","joint upr extr w/o&w/dye","81.70"
"SVM100719","Brachytx, stranded, NOS","171.36"
"SJL441385","Ht muscle image spect mult","113.01"
"SKS316352","Development test interp & rep","279.19"
"SYM477311","X-ray exam of salivary gland","168.38"
"SFZ555351","Neg press wound tx > 50","137.03"
"SNK762628","Mr angio spine w/o&w/dye","211.29"
"SCH169874","dye","18.05"
"SKC640730","Flutemetamol F18","238.70"
"SYQ290263","Assistive technology assess","201.33"
"SKP672271","Ins device for rt guide open","256.48"
"STR259011","Vit B-12 absorp combined","186.73"
"SRG599510","sequestration","198.68"
"SHC628452","Ct head/brain w","103.44"
"SKR360113","Gated heart multiple","58.72"
"SSK113728","Body muscle testing manual","140.33"
"SBV045830","Bone marrow imaging body","59.40"
"SKL325547","Place po breast cath for rad","142.34"
"SHB981103","Hyperthermia treatment","299.99"
"SFJ617577","Heart first pass add-on","33.44"
"SQV379568","Technetium tc99m arcitumomab","245.93"
"SNB478663","Penile vascular study","292.92"
"STX120098","Work hardening add-on","215.16"
"SXC384054","X-ray exam of arm infant","12.20"
"SNW774669","Brachytx, non-stranded,P-103","279.85"
"SMV568068","Radiation","25.43"
"SZW523896","Ct soft tissue neck w/o dye","193.30"
"SVW027156","contrast,1ml","152.74"
"SDM378859","X-ray exam hip uni 4/> views","232.77"
"SNB027053","thoracic spine","246.91"
"SHH726245","Ct thorax w/dye","36.82"
"SBS067987","Cell enumeration phys interp","14.68"
"SVH239094","Radiographic procedure","292.49"
"SJF928156","X-ray exam entire spi 6/> vw","60.14"
"SQX187826","Contrast bath therapy","58.11"
"STD990213","Range of motion measurements","16.03"
"SZJ793658","I131 tositumomab, rx","192.00"
"SJT471370","Platelet survival","206.90"
"SPC951099","complete","7.76"
"SMD961335","Urine specimen collect mult ","290.31"
"SVP603278","Nuclear rx intracav admin","38.71"
"SBG418568","X-ray exam of","113.28"
"SKW641071","X-ray exam of facial bones","49.73"
"SJQ501205","Leveen/shunt patency exam","70.51"
"SFC976688","ELISA HIV-1/HIV-2 screen","22.37"
"SNM512318","LOCM 100-199mg/ml iodine,1ml","132.26"
"SPP846425","RMVL devital tis 20cm/<","216.14"
"SKV844869","Vascular study","82.71"
"SQD301398","Acute GI blood loss imaging","20.45"
"SNR636895","spect","24.42"
"SJZ052460","Inj perflexane lip micros,ml","268.13"
"STD934100","spect","245.41"
"SZT293092","X-ray exam of elbow","203.38"
"SFP535283","Cine/vid x-ray throat/esoph","73.22"
"SDD372204","Radiation treatment aid(s)","279.59"
"SPW403386","Mri orbit","133.71"
"SZY447104","Telethx isodose plan simple","59.92"
"SQH452109","3d render w/o postprocess","124.23"
"STZ502218","X-rays bone survey infant","282.67"
"STQ645707","Echo transthoracic","233.53"
"SYZ076793","Special radiation treatment","199.07"
"SSQ348010","Electrical stimulation","1.95"
"SZH529998","X-ray exam of nasal bones","299.30"
"SGH369330","Lung perfusion differential","232.26"
"SFM826363","Brain imaging (PET)","210.82"
"SRF465852","Mri pelvis w/dye","77.00"
"SZM311661","Mri chest spine w/dye","221.28"
"SWQ778803","Radiation","82.80"
"SXG285925","whole body","164.67"
"SBF976391","Tc99m oxidronate","288.08"
"SDG845830","X-ray exam hips bi 5/> views","189.41"
"SLH476951","freeze/thaw","1.76"
"SKD273664","Adrenal nuclear imaging","255.28"
"SLG865292","management","126.08"
"SGY177813","Electric current therapy","178.33"
"SQM221118","Hepatobil syst image w/drug","217.88"
"SBF916570","Ct angio abd&pelv w/o&w/dye","270.69"
"SZW454570","Tomosynthesis, mammo screen","18.87"
"SFF006316","Liver image (3d) with flow","142.10"
"SHN355853","HOCM>= 400mg/ml iodine,","172.52"
"SBZ961024","Mr angiography head w/o dye","87.90"
"SWR434908","Respiratory nuclear exam","124.89"
"SLF875250","Chest x-ray","3.77"
"SNY577296","Liver imaging with flow","44.27"
"SJW603590","Parathyrd planar w/wo subtrj","278.89"
"SYB983807","HIV combination assay","213.05"
"STW864476","Mri chest w/o & w/dye","174.69"
"SNL332638","Kidney imaging (3D)","5.16"
"SFJ131884","Vascular study","93.03"
"SFB300921","HDR brachytx 1 channel","200.51"
"SNQ368689","X-ray exam of elbow","174.78"
"SDG704695","Plasma fresh frozen","76.56"
"SHL041039","Ct perfusion w/contrast cbf","14.97"
"SBH375244","X-ray exam hips bi 3-4 views","121.50"
"SYV188538","Inj multihance","156.74"
"SBP143230","K flow/funct image w/o drug","114.35"
"SYD132570","imaging (3D)","94.31"
"SWY228173","Chest x-ray and fluoroscopy","127.59"
"SKR713539","Prostate biopsy, any mthd","192.96"
"SXR375098","Nuclear rx intra-arterial","164.65"
"SDS521965","Plasma fresh frozen","78.33"
"SGD525927","Gait training therapy","271.21"
"SQG066191","TC99m depreotide","162.04"
"SXB146608","Tumor imaging (3D)","112.30"
"SQZ066990","Hep b vacc adol","74.87"
"SPT689586","Abscess imaging","255.32"
"SDB184525","dye","45.24"
"SVF444277","Work hardening add-on","180.48"
"SGH971581","Telethx isodose plan simple","24.31"
"SHG058089","Remote retinal imaging mgmt","160.87"
"SKT370990","Cardiac MRI for morph w/dye","11.44"
"SBB553429","2-5","126.46"
"SHZ225799","Echo exam of fetal heart","97.56"
"SFW823942","Lower extremity study","124.91"
"SXS628554","colloid","27.90"
"SRP555475","Pneumococcal vaccine","90.95"
"SPD927942","ulcers","295.81"
"SYG199507","therapy","31.22"
"SNC059626","Radiation treatment delivery","92.44"
"SXS817813","Liver and spleen imaging","29.20"
"SSD731781","cyto,thinlayer,rescr","118.71"
"SWL362843","Us urine capacity measure","14.38"
"STD780885","Evaluate speech production","3.04"
"SCF472443","Ct neck spine w/o dye","272.74"
"SJZ822198","Iodine I-123 sod iodide mic","112.74"
"SWW282922","Ophth us b w/non-quant a","6.27"
"SCY344191","Ex for speech device rx addl","61.10"
"SLL698114","Physical therapy treatment","70.45"
"SVH260784","GI nuclear procedure","239.84"
"SPW979447","Sbrt","233.76"
"SPD750211","Screen pap by tech w md supv","141.79"
"SZN985003","Us exam pelvic complete","74.19"
"SVN806610","Extracranial study","24.66"
"SLM937771","+Ultrasound elastography","65.44"
"SHS474875","Brachytx, non-str, HA, P-103","73.08"
"SHN758541","X-ray exam hips bi 2 views","107.55"
"SQB584088","Hepb vacc ill pat 4 dose im","65.21"
"SRT592259","Stereotactic radiation trmt","109.84"
"SMB543430","Extracranial study","126.25"
"SSR011428","Brachytherapy Radioelements","274.87"
"SKL056295","X-ray exam of facial bones","140.31"
"SQR387971","Extracranial study","163.25"
"SNB520182","Hepatobiliary system imaging","171.11"
"SJP704001","Us exam pelvic complete","187.02"
"SLD386382","Hyperthermia treatment","122.20"
"SDR481971","C/O for orthotic/prosth use","106.83"
"SXH636665","X-ray exam of teeth","42.59"
"SXC682889","cryopreservation oocyte(s)","285.30"
"SZB835473","Tomosynthesis, mammo screen","6.10"
"SJX350010","X-ray exam of knee 3","34.22"
"SRD550788","Srs linear based","68.45"
"SDZ962292","Ct abd & pelv w/contrast","106.00"
"SRG603830","Salivary gland function exam","181.68"
"SKG315244","Echo exam of fetal heart","171.10"
"SNM029480","Thyroid met uptake","267.75"
"SFS280161","Tc99m mertiatide","73.18"
"SCM756797","Mri joint of lwr extr w/dye","97.66"
"SPR668739","Mri uppr extremity w/o&w/dye","74.93"
"SGQ295772","Kidney imaging morphol","205.17"
"SBD415729","Developmental testing","81.30"
"SNL033006","Ct chest spine w/o & w/dye","104.14"
"SVD297144","X-ray exam of shoulder blade","273.15"
"SYB833551","img post segmt","223.35"
"SQQ835474","HOCM>= 400mg/ml iodine,","110.17"
"SXT045088","Transport portable x-ray","211.48"
"SBC901126","Radiation therapy planning","92.54"
"SBM316299","Mri fetal sngl/1st gestation","60.36"
"SDR914099","Pneumococcal vaccine","234.05"
"SRY161894","Ob us limited fetus(s)","114.45"
"SNQ608183","EIA HIV-1/HIV-2 screen","39.39"
"SGY897814","Radium","218.14"
"SZZ363250","cm","190.28"
"SMT396668","Endocrine nuclear procedure","23.35"
"SQC656397","Warfarin respon genetic test","259.44"
"SDY934772","cryopreservation oocyte(s)","203.34"
"SLZ682089","section x-ray","184.19"
"SVY157914","Set radiation therapy field","145.32"
"SZW287609","Routine venipuncture","246.31"
"SRD402761","LOCM 200-299mg/ml iodine,1ml","125.78"
"SMH320467","Ob us limited fetus(s)","74.76"
"SPY947349","Place needles pelvic for rt","126.93"
"SSR150983","Screen cerv/vag thin layer","270.08"
"SJY986412","Ct bone density axial","98.47"
"SGY519027","Psa screening","117.74"
"SHP679736","SRS spinal lesion","264.24"
"SRH469631","Liver image (3d) with flow","197.08"
"STJ074236","Nuclear exam of tear flow","161.66"
"SWT317217","X-ray exam of jaw joint","39.14"
"SPC909200","thickness","204.60"
"SQD849868","Ct angio upr","8.13"
"SYY366090","Echo exam of eye","163.08"
"SSW838944","Upper extremity study","246.00"
"SGJ698181","Flutemetamol F18","182.87"
"SLX351095","Indium In-111 auto WBC","163.10"
"SXD400335","HPV combo assay CA screen","142.69"
"SKX809927","tetrofosmin","20.05"
"SFQ278758","Radiation therapy planning","57.32"
"SML120954","X-rays bone survey","77.62"
"SRC249590","Ct pelvis w/o","126.43"
"SSB831350","PET image ltd area","68.54"
"SPF072139","Mri abdomen w/o & w/dye","114.15"
"SZC527191","Psa screening","98.42"
"SZF252047","Semen analysis ","255.10"
"SCY779134","Community/work reintegration","264.76"
"SPR723065","X-ray exam of neck spine","274.09"
"SNB651356","Echo guidance radiotherapy","256.83"
"SLJ264743","Mr angiograph neck w/o&w/dye","173.42"
"SGP740130","tx dlvr cplx","0.54"
"SNW057304","speech device service","283.38"
"SFC319626","Ultrasound breast limited","21.49"
"STZ678821","Nuclear rx intra-articular","164.62"
"SDW732112","Breath tst attain/anal c-14","126.87"
"SBY232095","ELISA HIV-1/HIV-2 screen","17.07"
"SQY638965","Radiation treatment delivery","246.74"
"SXC360919","PET image full body","245.02"
"SPR522385","SRS cran","294.77"
"SNV301074","P32 chromic phosphate","172.37"
"SRG378659","imaging","230.69"
"SYY551138","Sr89 strontium","253.88"
"SYP640716","Proton trmt simple w/o comp","23.04"
"SWD458898","Throat x-ray & fluoroscopy","178.38"
"SHL335843","les complex addl","139.44"
"SCV509885","Computer dx mammogram","187.25"
"SBR628779","Radiation therapy planning","208.59"
"STD104254","X-ray exam of jaw joints","59.30"
"SPD961180","Breast tomosynthesis uni","20.34"
"SPJ990221","Heart infarct image","90.19"
"SPK954342","Chest x-ray","53.13"
"SGW014920","Us bone density measure","261.98"
"SRS732206","Contrst x-ray uppr gi tract","79.81"
"SRC501898","Inj prohance multipack","117.30"
"SPC017327","Cad breast mri","210.98"
"SCX790283","Ultrasound exam follow-up","19.25"
"SPX761776","face/neck w/o dye","148.17"
"SDW793613","x-ray","137.44"
"SXW835808","Set radiation therapy field","136.38"
"SJW708389","I131 serum albumin, dx","91.81"
"SJH401227","Wound(s) care non-selective","243.78"
"SLN143301","x-ray","217.37"
"STF868422","NOS flu vacc, 3 yrs & >, im","18.95"
